time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2012-12-16,73.25,38.25,-18.5,9.0,79.1,0.3,8.87,59.600002,31.0,0.5
2015-10-16,-78.25,72.75,-14.1,6.4,28.1,1.6,13.78,66.4,31.0,0.2
2020-03-16,121.75,-23.25,29.300001,14.8,32.7,16.0,6.0099998,33.100002,0.0,7.2000003
2013-11-16,81.25,28.25,20.800001,14.2,0.90000004,15.7,0.19999999,20.9,0.0,2.3
2014-03-16,-117.25,57.75,-10.8,15.0,14.3,1.7,4.83,56.4,31.0,0.8
2017-12-16,75.75,58.75,-14.0,7.2000003,34.600002,2.0,11.38,69.3,31.0,0.0
2014-02-15,29.25,-8.75,22.800001,9.3,183.3,22.2,15.98,82.5,0.0,2.9
2018-08-16,175.75,68.25,4.8,8.3,31.800001,6.6,12.2,75.6,16.06,1.6
2018-08-16,141.75,65.25,6.1,14.400001,76.6,5.7000003,10.73,65.9,20.77,2.1000001
2015-01-16,-39.25,66.75,-21.1,8.2,57.600002,0.6,13.48,63.8,31.0,0.2
2011-09-16,56.75,80.25,-0.3,3.7,27.5,5.3,13.059999,97.200005,22.46,0.4
2018-01-16,76.25,17.75,23.6,14.7,0.8,14.7,0.099999994,13.900001,0.0,4.1
2015-03-16,-155.75,70.25,-22.1,8.7,15.3,0.7,6.58,56.3,31.0,0.2
2012-11-16,51.25,32.75,9.900001,11.400001,47.600002,6.8,9.25,40.9,6.92,1.5
2011-10-16,-104.25,46.25,9.400001,16.0,38.600002,7.3,6.54,58.9,14.19,2.5
2019-10-16,104.75,77.75,-7.3,6.2000003,12.900001,2.2,16.119999,89.8,30.21,0.6
2017-08-16,36.25,-4.25,19.9,9.8,2.0,16.1,2.9299998,63.8,0.0,3.5
2019-05-16,93.25,45.25,11.0,13.6,16.9,5.5,5.23,44.100002,7.1499996,4.1
2019-08-16,-115.25,36.25,31.6,15.900001,0.4,13.2,0.0,28.800001,0.0,8.900001
2015-02-15,-76.25,-4.75,26.9,10.5,178.6,28.2,15.53,82.5,0.0,3.4
2020-09-16,118.25,42.75,12.8,11.5,104.6,9.5,10.45,40.0,1.8399999,2.9
2020-08-16,-55.75,-27.25,19.1,13.1,31.6,15.6,4.7,34.2,0.0,3.2
2020-01-16,-111.75,25.25,19.300001,14.1,2.5,16.800001,0.25,55.9,0.0,2.4
2012-10-16,57.75,75.25,-6.2000003,5.1,31.6,4.0,16.55,93.8,29.369999,0.0
2018-02-15,38.75,50.75,-7.4,5.9,39.2,3.5,13.13,78.5,27.289999,0.2
2016-04-16,107.75,35.25,13.900001,10.3,36.0,8.5,8.71,57.8,0.32,3.3
2013-03-16,85.75,62.75,-16.1,13.900001,29.2,1.5,17.619999,55.9,31.0,0.3
2017-07-16,-66.75,1.75,27.5,9.3,356.1,30.7,23.82,77.200005,0.0,2.9
2013-07-16,58.25,51.25,21.0,21.2,85.3,12.3,7.6,28.2,0.0,6.1
2018-02-15,90.75,45.75,-12.7,14.1,2.1000001,2.0,1.76,26.2,28.0,0.4
2017-12-16,44.25,-18.75,27.5,8.400001,224.8,29.300001,13.059999,54.100002,0.0,4.6
2015-10-16,175.25,-38.75,11.6,9.900001,78.6,11.2,14.08,69.1,2.45,2.3
2016-05-16,-107.75,29.25,15.7,22.300001,8.5,6.0,2.1699998,47.3,6.27,5.8
2015-07-16,-111.75,61.25,15.3,11.5,46.2,12.0,9.719999,60.5,0.04,3.5
2018-01-16,120.75,51.25,-28.9,14.2,4.9,0.4,5.1099997,32.7,31.0,0.1
2018-01-16,106.75,27.75,3.4,4.2000003,31.300001,6.5,18.98,83.8,14.45,0.90000004
2013-03-16,11.25,12.25,32.100002,18.300001,0.2,9.3,0.0,39.8,0.0,8.3
2016-12-16,54.75,46.75,-6.5,10.5,24.5,3.6000001,8.29,75.9,30.699999,0.2
2013-06-16,-137.25,66.75,13.2,13.2,37.7,8.3,9.969999,59.5,2.51,3.9
2019-07-16,35.75,61.75,14.6,9.0,86.200005,12.3,20.039999,76.5,0.0,2.8
2016-12-16,112.25,34.25,5.0,9.900001,22.7,5.6,4.69,41.2,17.66,1.2
2013-03-16,113.25,70.75,-27.300001,9.8,4.6,0.6,2.95,50.9,31.0,0.1
2011-10-16,-48.75,67.25,-13.3,7.0,64.9,1.5,13.389999,62.600002,31.0,0.3
2019-12-16,72.75,49.25,-7.8,7.0,20.0,2.8,7.35,66.6,30.55,0.3
