hour,time,lat,lon,height,pre,PRS_Avg,VAP_Avg,tmp
12,2020/11/19,56.377,-2.8609999999999998,10,42,1010.3,9.5,7.9
12,2020/11/19,54.297,-1.5310000000000001,33,31,1011.2,9.6,8.3
12,2020/11/19,53.252,-4.535,10,85,1014.0,10.4,9.9
12,2020/11/19,53.175,-0.523,68,23,1008.8,9.8,8.7
12,2020/11/19,52.794,-2.6630000000000003,72,36,1008.1,9.8,8.5
12,2020/11/19,52.139,-4.57,133,71,1000.5,10.4,9.4
12,2020/11/19,52.123,0.9590000000000001,89,40,1008.0,10.3,8.8
12,2020/11/19,51.503,-1.992,145,59,1001.2,10.2,8.5
12,2020/11/19,51.479,-0.449,25,50,1016.3,10.4,9.7
12,2020/11/19,51.346,1.337,49,35,1013.9,10.9,10.0
12,2020/11/19,50.218,-5.327,87,85,1007.9,11.2,10.4
12,2020/11/19,50.779,-1.835,10,65,1018.2,10.9,9.9
12,2020/11/19,54.663,-6.224,63,82,1005.2,10.1,8.6
12,2020/12/15,60.139,-1.183,82,105,988.1,8.2,5.5
12,2020/12/15,58.954,-2.9,26,100,994.0,8.1,5.5
12,2020/12/15,58.214,-6.318,15,182,994.6,8.2,5.7
12,2020/12/15,57.646,-3.5620000000000003,5,112,996.8,7.6,4.9
12,2020/12/15,57.205,-2.204,65,154,990.1,7.5,4.5
12,2020/12/15,56.5,-6.88,9,128,995.9,8.5,6.5
12,2020/12/15,55.312,-3.205,236,234,970.9,7.4,3.3
12,2020/12/15,56.377,-2.8609999999999998,10,87,997.1,7.7,4.6
12,2020/12/15,54.297,-1.5310000000000001,33,87,996.2,7.7,4.7
12,2020/12/15,53.252,-4.535,10,151,999.8,8.6,6.8
12,2020/12/15,53.175,-0.523,68,90,992.9,7.6,4.5
12,2020/12/15,52.794,-2.6630000000000003,72,114,992.3,8.0,5.0
12,2020/12/15,52.139,-4.57,133,190,985.0,8.9,6.7
12,2020/12/15,52.123,0.9590000000000001,89,110,991.6,8.3,4.9
12,2020/12/15,51.503,-1.992,145,109,984.9,8.4,5.2
12,2020/12/15,51.479,-0.449,25,72,999.9,8.4,6.1
12,2020/12/15,51.346,1.337,49,88,997.4,8.9,6.3
12,2020/12/15,50.218,-5.327,87,229,992.8,9.2,8.1
12,2020/12/15,50.779,-1.835,10,140,1001.8,8.7,6.0
12,2020/12/15,54.663,-6.224,63,88,991.6,8.0,4.9
